gender,age,days_diff,max_date_income,offer_id_count,amount_count,amount_mean,reward_count,reward_mean,xid-0b1e1539f2cc45b7b9fa7c272da2e1d7,xid-2298d6c36e964ae4a3e7e9706d1fb8c2,xid-2906b810c7d4411798c6938adc9daaa5,xid-3f207df678b143eea3cee63160fa8bed,xid-4d5c57ea9a6940dd891ad53e9dbe8da0,xid-5a8bc65990b245e5a138643cd4eb9837,xid-9b98b8c7a33c4b65b9aebfe6a799e6d9,xid-ae264e3637204a6fb9bb56bc8210ddfd,xid-f19421c1d4aa40978ebb69ca19b0e20d,xid-fafdcd668e3743c1bb461111dcafc2a4
F,55.0,376,121240.87706352152,3,3,25.67,1,5.0,0,0,0,1,0,0,1,0,0,0
F,75.0,443,109790.90532573126,11,7,22.752857142857145,3,6.666666666666667,0,0,0,0,0,1,1,1,1,0
M,68.0,91,71356.09678752148,9,3,19.243333333333336,2,3.5,0,0,1,1,0,0,1,0,0,1
M,65.0,167,54899.49915005086,17,3,12.143333333333333,5,3.8,0,0,1,0,0,0,1,0,1,1
M,58.0,257,53839.88986685868,6,4,3.905,1,2.0,0,1,0,1,0,0,0,0,0,1
F,61.0,318,60952.95012276916,13,6,14.258333333333333,3,8.333333333333334,1,0,0,0,1,1,0,1,1,0
M,26.0,1624,64784.43128232404,8,11,5.11090909090909,1,5.0,1,0,1,0,0,0,0,1,0,0
F,62.0,896,85764.35001148986,15,8,20.03125,4,2.75,1,1,0,0,0,0,0,0,0,1
M,49.0,1351,69138.03385058024,6,9,16.01222222222222,1,10.0,1,0,0,0,0,1,0,1,0,0
M,57.0,207,43873.742348566884,8,6,3.1833333333333336,2,4.0,1,1,0,1,0,0,1,0,0,0
F,61.0,86,40731.947708666106,5,7,2.968571428571429,0,,0,0,0,0,0,1,1,1,0,0
F,40.0,813,84276.46876555166,14,16,18.7925,5,3.2,1,1,1,0,0,0,0,0,0,0
M,64.0,320,106980.10467824306,12,7,30.184285714285718,3,6.666666666666667,1,0,0,1,0,0,0,1,0,0
F,78.0,405,77329.46072228072,13,8,19.4325,1,2.0,0,0,0,1,1,1,0,0,0,1
M,42.0,1810,101063.48944996818,11,5,18.28,3,4.666666666666667,0,0,0,1,1,0,0,0,0,1
F,56.0,89,89666.98645906674,16,3,25.206666666666667,4,5.5,1,0,1,0,1,0,1,0,0,0
F,33.0,303,55430.607621505245,10,9,1.9888888888888887,1,2.0,1,1,1,0,0,0,1,0,0,1
F,46.0,318,63091.65012707685,5,1,2.88,0,,1,0,0,1,1,0,0,0,0,0
M,59.0,1282,53725.3278796139,13,13,4.006153846153846,2,2.0,0,0,1,0,0,1,1,0,0,1
M,67.0,1433,129865.5062339057,11,8,25.86,4,5.25,0,1,0,0,0,0,0,1,1,0
O,53.0,313,55547.60756424195,9,5,3.748,1,2.0,0,0,1,0,1,1,1,0,0,0
M,22.0,304,74633.86069668725,16,6,17.73,4,7.0,1,1,0,1,1,0,0,1,0,0
F,96.0,251,93837.09658168281,11,4,20.48,4,3.75,0,1,1,0,0,1,1,0,1,0
