person,gender,age,became_member_on,days_diff,max_date_income,offer_id_count,amount_count,amount_mean,reward_count,reward_mean
0610b486422d4921ae7d2bf64640c50b,F,55.0,2017-07-15,376,121240.87706352152,3,3,25.67,1,5.0
78afa995795e4d85b5d9ceeca43f5fef,F,75.0,2017-05-09,443,109790.90532573126,11,7,22.752857142857145,3,6.666666666666667
e2127556f4f64592b11af22de27a7932,M,68.0,2018-04-26,91,71356.09678752148,9,3,19.243333333333336,2,3.5
389bc3fa690240e798340f5a15918d5c,M,65.0,2018-02-09,167,54899.49915005086,17,3,12.143333333333333,5,3.8
2eeac8d8feae4a8cad5a6af0499a211d,M,58.0,2017-11-11,257,53839.88986685868,6,4,3.905,1,2.0
aa4862eba776480b8bb9c68455b8c2e1,F,61.0,2017-09-11,318,60952.95012276916,13,6,14.258333333333333,3,8.333333333333334
e12aeaf2d47d42479ea1c4ac3d8286c6,M,26.0,2014-02-13,1624,64784.43128232404,8,11,5.11090909090909,1,5.0
31dda685af34476cad5bc968bdb01c53,F,62.0,2016-02-11,896,85764.35001148986,15,8,20.03125,4,2.75
62cf5e10845442329191fc246e7bcea3,M,49.0,2014-11-13,1351,69138.03385058024,6,9,16.01222222222222,1,10.0
6445de3b47274c759400cd68131d91b4,M,57.0,2017-12-31,207,43873.742348566884,8,6,3.1833333333333336,2,4.0
a448667f336b42c9a66fc5ffd5d73772,F,61.0,2018-05-01,86,40731.947708666106,5,7,2.968571428571429,0,
440cf1fd7580490c971d8c651ed962af,F,40.0,2016-05-04,813,84276.46876555166,14,16,18.7925,5,3.2
4b0da7e80e5945209a1fdddfe813dbe0,M,64.0,2017-09-09,320,106980.10467824306,12,7,30.184285714285718,3,6.666666666666667
c27e0d6ab72c455a8bb66d980963de60,F,78.0,2017-06-16,405,77329.46072228072,13,8,19.4325,1,2.0
f806632c011441378d4646567f357a21,M,42.0,2013-08-11,1810,101063.48944996818,11,5,18.28,3,4.666666666666667
d058f73bf8674a26a95227db098147b1,F,56.0,2018-04-28,89,89666.98645906674,16,3,25.206666666666667,4,5.5
c6c9884912c645429f3333f912b55f44,F,33.0,2017-09-26,303,55430.607621505245,10,9,1.9888888888888887,1,2.0
